episode,energy,load_balance,coordination,conflicts,specialization,task_clustering,communication_cost,conflict_rate,reconfig_cost,kappa_norm
0,1.4890786409378052,2.345207929611206,4.0,0.0,0.40630812644958497,0.4,6.0,0.0,0.0,0.0
1,1.6415278911590576,2.0,4.0,0.0,0.39462933540344236,0.4,6.0,0.0,6.0,0.0
2,1.5869722366333008,2.7386128902435303,8.0,0.0,0.4033858299255371,0.8,2.0,0.0,5.0,0.0
3,1.8975707292556763,1.5811388492584229,4.0,0.0,0.3154471397399902,0.4,6.0,0.0,5.0,0.0
4,1.0186610221862793,2.345207929611206,4.0,0.0,0.5223745822906494,0.4,6.0,0.0,8.0,0.0
5,1.6215004920959473,2.1213202476501465,4.0,0.0,0.3351644992828369,0.4,6.0,0.0,6.0,0.0
6,2.2411649227142334,1.4142135381698608,4.0,0.0,0.32197980880737304,0.4,6.0,0.0,7.0,0.0
7,2.147104263305664,2.4494898319244385,6.0,0.0,0.40654335021972654,0.6,4.0,0.0,9.0,0.0
8,2.0817039012908936,2.1213202476501465,4.0,0.0,0.3053863525390625,0.4,6.0,0.0,7.0,0.0
9,1.695624828338623,2.345207929611206,4.0,0.0,0.4257070064544678,0.4,6.0,0.0,8.0,0.0
10,1.9051661491394043,1.5811388492584229,6.0,0.0,0.32317628860473635,0.6,4.0,0.0,8.0,0.0
11,2.116684913635254,1.0,0.0,0.0,0.3274336576461792,0.0,10.0,0.0,8.0,0.0
12,1.4905736446380615,1.8708287477493286,2.0,0.0,0.42478036880493164,0.2,8.0,0.0,8.0,0.0
13,2.551729440689087,1.0,0.0,0.0,0.2750722885131836,0.0,10.0,0.0,9.0,0.0
14,1.6019457578659058,1.5811388492584229,4.0,0.0,0.3998082637786865,0.4,6.0,0.0,9.0,0.0
15,1.3730159997940063,2.0,4.0,0.0,0.4631179332733154,0.4,6.0,0.0,3.0,0.0
16,1.422520637512207,1.5811388492584229,2.0,0.0,0.47704648971557617,0.2,8.0,0.0,8.0,0.0
17,1.2792185544967651,1.2247449159622192,2.0,0.0,0.5026727676391601,0.2,8.0,0.0,8.0,0.0
18,1.4427181482315063,2.0,4.0,0.0,0.4552446365356445,0.4,6.0,0.0,8.0,0.0
19,1.2767884731292725,1.5811388492584229,2.0,0.0,0.5072842597961426,0.2,8.0,0.0,8.0,0.0
20,1.4751585721969604,2.8284270763397217,6.0,0.0,0.47077436447143556,0.6,4.0,0.0,6.0,0.0
21,1.5455821752548218,1.2247449159622192,2.0,0.0,0.4958205699920654,0.2,8.0,0.0,6.0,0.0
22,2.047623634338379,2.345207929611206,4.0,0.0,0.3072695732116699,0.4,6.0,0.0,7.0,0.0
23,2.0021283626556396,2.345207929611206,4.0,0.0,0.3996403217315674,0.4,6.0,0.0,7.0,0.0
24,1.387617588043213,1.5811388492584229,2.0,0.0,0.46041364669799806,0.2,8.0,0.0,7.0,0.0
25,2.162447452545166,1.4142135381698608,2.0,0.0,0.3188713550567627,0.1,18.0,0.0,6.0,0.0
26,1.6149786710739136,2.0,8.0,0.0,0.40220255851745607,0.4,12.0,0.0,9.0,0.0
27,2.0198819637298584,1.5811388492584229,10.0,0.0,0.3671721458435059,0.5,10.0,0.0,9.0,0.0
28,1.6158639192581177,1.8708287477493286,8.0,0.0,0.42281489372253417,0.4,12.0,0.0,7.0,0.0
29,1.5738378763198853,1.2247449159622192,2.0,0.0,0.5274946689605713,0.1,18.0,0.0,9.0,0.0
30,1.8873374462127686,1.8708287477493286,6.0,0.0,0.38440372943878176,0.3,14.0,0.0,8.0,0.0
31,1.9997857809066772,1.8708287477493286,10.0,0.0,0.3898539304733276,0.5,10.0,0.0,9.0,0.0
32,1.0534361600875854,1.7320507764816284,4.0,0.0,0.5621842861175537,0.2,16.0,0.0,8.0,0.0
33,1.4517343044281006,2.1213202476501465,10.0,0.0,0.451351261138916,0.5,10.0,0.0,7.0,0.0
34,1.642087459564209,1.5811388492584229,8.0,0.0,0.4171909809112549,0.4,12.0,0.0,5.0,0.0
35,1.5929816961288452,1.0,4.0,0.0,0.3854974269866943,0.2,16.0,0.0,10.0,0.0
36,2.028554677963257,2.0,4.0,0.0,0.3497518539428711,0.2,16.0,0.0,8.0,0.0
37,1.5068907737731934,2.1213202476501465,6.0,0.0,0.4021449089050293,0.3,14.0,0.0,7.0,0.0
38,1.798382043838501,1.5811388492584229,6.0,0.0,0.43344669342041015,0.3,14.0,0.0,5.0,0.0
39,1.526578664779663,1.5811388492584229,4.0,0.0,0.47167048454284666,0.2,16.0,0.0,5.0,0.0
40,1.615604281425476,1.8708287477493286,8.0,0.0,0.41562709808349607,0.4,12.0,0.0,5.0,0.0
41,1.4025745391845703,2.1213202476501465,6.0,0.0,0.3917579174041748,0.3,14.0,0.0,7.0,0.0
42,1.7949280738830566,1.7320507764816284,2.0,0.0,0.32794225215911865,0.1,18.0,0.0,8.0,0.0
43,1.7822020053863525,2.8284270763397217,8.0,0.0,0.32295753955841067,0.4,12.0,0.0,8.0,0.0
44,1.870794653892517,1.5811388492584229,2.0,0.0,0.3320319652557373,0.1,18.0,0.0,7.0,0.0
45,1.8882677555084229,2.0,6.0,0.0,0.2609312295913696,0.3,14.0,0.0,7.0,0.0
